strategy,strategy_name,fold,held_out_load_hp,n_train_windows,n_test_windows,n_train_recordings,n_test_recordings,overlapping_recording_count,recording_leakage_detected,train_recordings,test_recordings,train_loads,test_loads,window_accuracy,window_balanced_accuracy,window_macro_f1,window_weighted_f1,recording_accuracy,recording_macro_f1
random_window,Random window split,1,,600,200,16,16,16,True,100.mat;105.mat;106.mat;107.mat;108.mat;118.mat;119.mat;120.mat;121.mat;130.mat;131.mat;132.mat;133.mat;97.mat;98.mat;99.mat,100.mat;105.mat;106.mat;107.mat;108.mat;118.mat;119.mat;120.mat;121.mat;130.mat;131.mat;132.mat;133.mat;97.mat;98.mat;99.mat,0;1;2;3,0;1;2;3,1.0,1.0,1.0,1.0,1.0,1.0
random_window,Random window split,2,,600,200,16,16,16,True,100.mat;105.mat;106.mat;107.mat;108.mat;118.mat;119.mat;120.mat;121.mat;130.mat;131.mat;132.mat;133.mat;97.mat;98.mat;99.mat,100.mat;105.mat;106.mat;107.mat;108.mat;118.mat;119.mat;120.mat;121.mat;130.mat;131.mat;132.mat;133.mat;97.mat;98.mat;99.mat,0;1;2;3,0;1;2;3,1.0,1.0,1.0,1.0,1.0,1.0
random_window,Random window split,3,,600,200,16,16,16,True,100.mat;105.mat;106.mat;107.mat;108.mat;118.mat;119.mat;120.mat;121.mat;130.mat;131.mat;132.mat;133.mat;97.mat;98.mat;99.mat,100.mat;105.mat;106.mat;107.mat;108.mat;118.mat;119.mat;120.mat;121.mat;130.mat;131.mat;132.mat;133.mat;97.mat;98.mat;99.mat,0;1;2;3,0;1;2;3,1.0,1.0,1.0,1.0,1.0,1.0
random_window,Random window split,4,,600,200,16,16,16,True,100.mat;105.mat;106.mat;107.mat;108.mat;118.mat;119.mat;120.mat;121.mat;130.mat;131.mat;132.mat;133.mat;97.mat;98.mat;99.mat,100.mat;105.mat;106.mat;107.mat;108.mat;118.mat;119.mat;120.mat;121.mat;130.mat;131.mat;132.mat;133.mat;97.mat;98.mat;99.mat,0;1;2;3,0;1;2;3,1.0,1.0,1.0,1.0,1.0,1.0
grouped_recording,Grouped recording CV,1,,600,200,12,4,0,False,100.mat;105.mat;107.mat;108.mat;119.mat;120.mat;121.mat;130.mat;131.mat;132.mat;97.mat;98.mat,106.mat;118.mat;133.mat;99.mat,0;1;2;3,0;1;2;3,1.0,1.0,1.0,1.0,1.0,1.0
grouped_recording,Grouped recording CV,2,,600,200,12,4,0,False,105.mat;106.mat;108.mat;118.mat;120.mat;121.mat;131.mat;132.mat;133.mat;97.mat;98.mat;99.mat,100.mat;107.mat;119.mat;130.mat,0;1;2;3,0;1;2;3,1.0,1.0,1.0,1.0,1.0,1.0
grouped_recording,Grouped recording CV,3,,600,200,12,4,0,False,100.mat;105.mat;106.mat;107.mat;118.mat;119.mat;121.mat;130.mat;132.mat;133.mat;98.mat;99.mat,108.mat;120.mat;131.mat;97.mat,0;1;2;3,0;1;2;3,1.0,1.0,1.0,1.0,1.0,1.0
grouped_recording,Grouped recording CV,4,,600,200,12,4,0,False,100.mat;106.mat;107.mat;108.mat;118.mat;119.mat;120.mat;130.mat;131.mat;133.mat;97.mat;99.mat,105.mat;121.mat;132.mat;98.mat,0;1;2;3,0;1;2;3,1.0,1.0,1.0,1.0,1.0,1.0
leave_one_load_out,Leave-one-load-out,1,0.0,600,200,12,4,0,False,100.mat;106.mat;107.mat;108.mat;119.mat;120.mat;121.mat;131.mat;132.mat;133.mat;98.mat;99.mat,105.mat;118.mat;130.mat;97.mat,1;2;3,0,1.0,1.0,1.0,1.0,1.0,1.0
leave_one_load_out,Leave-one-load-out,2,1.0,600,200,12,4,0,False,100.mat;105.mat;107.mat;108.mat;118.mat;120.mat;121.mat;130.mat;132.mat;133.mat;97.mat;99.mat,106.mat;119.mat;131.mat;98.mat,0;2;3,1,1.0,1.0,1.0,1.0,1.0,1.0
leave_one_load_out,Leave-one-load-out,3,2.0,600,200,12,4,0,False,100.mat;105.mat;106.mat;108.mat;118.mat;119.mat;121.mat;130.mat;131.mat;133.mat;97.mat;98.mat,107.mat;120.mat;132.mat;99.mat,0;1;3,2,1.0,1.0,1.0,1.0,1.0,1.0
leave_one_load_out,Leave-one-load-out,4,3.0,600,200,12,4,0,False,105.mat;106.mat;107.mat;118.mat;119.mat;120.mat;130.mat;131.mat;132.mat;97.mat;98.mat;99.mat,100.mat;108.mat;121.mat;133.mat,0;1;2,3,1.0,1.0,1.0,1.0,1.0,1.0
